"","state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","year","yieldpercol_kg","price_per_kg","totalprod_kg","StateName","Region","FIPS","nCLOTHIANIDIN","nIMIDACLOPRID","nTHIAMETHOXAM","nACETAMIPRID","nTHIACLOPRID","nAllNeonic","nAllNeonic_kg"
"794","GA",85000,55,4675000,701000,0.66,3086000,1992,24.9475835394102,1.4550507444,2120544.60084987,"Georgia","South",13,NA,NA,NA,NA,NA,NA,NA
"795","GA",102000,42,4284000,129000,0.63,2699000,1991,19.0508819755496,1.3889120742,1943189.96150606,"Georgia","South",13,NA,NA,NA,NA,NA,NA,NA
"796","GA",50000,52,2600000,52000,1.13,2938000,2002,23.5868062554424,2.4912232442,1179340.31277212,"Georgia","South",13,0,5541.3,2643.7,0,0,8185,3712.65402309223
"797","GA",52000,65,3380000,270000,1.28,4326000,2003,29.483507819303,2.8219165952,1533142.40660375,"Georgia","South",13,0,11799.7,1670.2,0,0,13469.9,6109.84464577275
"798","GA",55000,46,2530000,152000,1.67,4225000,2010,20.8652516875067,3.6817193078,1147588.84281287,"Georgia","South",13,2010.1,15499.6,8551.6,45.6,10.4,26117.3,11846.6095195243
"799","GA",55000,57,3135000,188000,0.7,2195000,2001,25.8547683953887,1.543235638,1422012.26174638,"Georgia","South",13,0,4127.4,0,0,0,4127.4,1872.15738728294
"800","GA",55000,57,3135000,376000,0.63,1975000,2000,25.8547683953887,1.3889120742,1422012.26174638,"Georgia","South",13,0,3065.3,0,0,0,3065.3,1390.39686951553
"801","GA",59000,49,2891000,434000,0.89,2573000,2005,22.2260289714745,1.9621138826,1311335.709317,"Georgia","South",13,58.4,3524.6,3326.1,7.6,20.6,6937.3,3146.70675069001
"802","GA",59000,51,3009000,181000,1.92,5777000,2012,23.1332138274531,4.2328748928,1364859.61581973,"Georgia","South",13,2027.7,21222,17521.6,62.3,5.9,40839.5,18524.4879628681
"803","GA",60000,58,3480000,522000,1.19,4141000,2007,26.308360823378,2.6235005846,1578501.64940268,"Georgia","South",13,3736.5,5571.6,7840.9,10.8,0,17159.8,7783.55534581038
"804","GA",63000,49,3087000,648000,1.2,3704000,2004,22.2260289714745,2.645546808,1400239.8252029,"Georgia","South",13,4667.9,3927.7,1823,0.1,2.7,10421.4,4727.06812904744
"805","GA",63000,74,4662000,746000,1.2,5594000,2006,33.5658396712064,2.645546808,2114647.89928601,"Georgia","South",13,1161.6,11053.7,9371.1,52.7,41.4,21680.5,9834.11063502151
"806","GA",65000,41,2665000,346000,1.47,3918000,2009,18.5972895475603,3.2407948398,1208823.82059142,"Georgia","South",13,2305.1,11526.9,9464,27.8,0.4,23324.2,10579.6805089075
"807","GA",65000,43,2795000,196000,1.65,4612000,2011,19.5044744035389,3.637626861,1267790.83623003,"Georgia","South",13,2592.3,38017.1,17996.9,6,13.1,58625.4,26592.0375278425
"808","GA",65000,51,3315000,497000,0.64,2122000,1999,23.1332138274531,1.4109582976,1503658.89878445,"Georgia","South",13,0,3647.8,0,0,0,3647.8,1654.61445881928
"809","GA",65000,71,4615000,369000,1.52,7015000,2008,32.2050623872386,3.3510259568,2093329.05517051,"Georgia","South",13,1942.8,6568.8,9468.3,25.9,21.5,18027.3,8177.04677709108
"810","GA",67000,50,3350000,637000,2.26,7571000,2013,22.6796213994638,4.9824464884,1519534.63376408,"Georgia","South",13,4551.9,17838.7,22223.9,33.7,0,44648.2,20252.0854433508
"811","GA",69000,40,2760000,221000,2.43,6707000,2015,18.1436971195711,5.3572322862,1251915.1012504,"Georgia","South",13,1734.4,24940.5,2930,41.6,0,29646.5,13447.4279163841
"812","GA",73000,62,4526000,362000,2.19,9912000,2014,28.1227305353351,4.8281229246,2052959.32907946,"Georgia","South",13,7799.7,27802.7,16303.3,27,0,51932.7,23556.2794850387
"813","GA",75000,56,4200000,307000,0.69,2898000,1998,25.4011759673995,1.5211894146,1905088.19755496,"Georgia","South",13,0,5259.6,0,0,0,5259.6,2385.7147342524
"814","GA",96000,39,3744000,899000,2.69,10071000,2016,17.6901046915818,5.9304340946,1698250.05039185,"Georgia","South",13,4515.6,42934,9302.7,63.5,0,56815.8,25771.2166701531
"815","GA",99000,32,3168000,190000,2.96,9377000,2017,14.5149576956568,6.5256821264,1436980.81187003,"Georgia","South",13,NA,NA,NA,NA,NA,NA,NA
"816","HI",8000,129,1032000,103000,0.56,578000,1995,58.5134232106166,1.2345885104,468107.385684933,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
